Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Василечко,Галина,Юхимівна,Жінка,03.06.1985,Історик,хутір Перещепине,"парк Академіка Вільямса, буд. 824 кв. 944, Гола Пристань, 56087",091 442-23-20,albina29@example.com
Дуплій,Адам,Гаврилович,Чоловік,03.02.1943,Електромонтажник,місто Гнівань,"проспект Дачна, буд. 879, Апостолове, 78141",+380 81 821 66 26,cdashkevych@example.org
Чалий,Ярослава,Віталіївна,Жінка,23.01.1939,Складальник,хутір Підгородне,"сквер Оранжерейний, буд. 74 кв. 8, Мена , 82782",905-23-45,martynhunko@example.net
Батуринець,Амвросій,Пилипович,Чоловік,31.01.1977,Архітектор,селище Нова Каховка,"вулиця Аеропортівський 5-й, буд. 94 кв. 77, Зимогір'я, 01329",+380 (13) 361-17-76,azar02@example.net
Колісниченко,Марко,Яремаович,Чоловік,31.07.2004,Бібліотекар,селище Сулимівка (Слов'янськ),"набережна Ванний, буд. 56 кв. 66, Умань, 81671",+380 87 937 77 13,alla88@example.org
Іваничук,Соломон,Остапович,Чоловік,05.02.1959,Піаніст,селище Сколе,"проспект Калинова, буд. 20, Кам'янка-Бузька, 04304",085 959-40-62,daryna43@example.org
Авдєєнко,Антон,Вʼячеславович,Чоловік,21.04.2006,Круп'є,місто Заводське,"шосе Михайла Божія, буд. 5, Миронівка, 79080",190 69 88,ysomko@example.com
Макаренко,Марія,Зорянівна,Жінка,06.03.1944,Науковець,хутір Тульчин,"провулок Солонцюватий, буд. 370, Буча, 32707",974 64 59,klymentlysenko@example.com
Назаренко,Веніямин,Святославович,Чоловік,23.05.1989,Модельєр,селище Алупка,"провулок Павла Шклярука, буд. 3 кв. 694, Перемишляни, 02699",984-57-87,trokhym61@example.org
Шаблій,Сніжана,Володимирівна,Жінка,25.01.2003,Графік,місто Вишневе ,"парк Виноградна, буд. 5, Нововолинськ, 31962",957-60-51,anastasiialazarenko@example.org
Годунок,Лілія,Ярославівна,Жінка,29.06.1971,Бібліограф,село Козятин,"шосе Собінова, буд. 85 кв. 494, Андрушівка, 60332",+380 54 533-36-43,wkorolenko@example.com
Яценко,Альбіна,Азарівна,Жінка,23.06.1985,Мінералог,село Рогатин,"проспект Левадна, буд. 25 кв. 0, Докучаєвськ, 97803",+380 32 764-11-93,amaliiabezborodky@example.org
Ващенко,Святослав,Владиславович,Чоловік,13.05.1956,Музикознавець,селище Новий Розділ,"набережна Осіння, буд. 2 кв. 6, Герца, 03152",029 889 93 84,skyrdavadym@example.net
Шовкопляс,Миколай,Богодарович,Чоловік,22.02.1967,Модель,село Євпаторія,"проспект Шишкіна 1-й, буд. 810, Решетилівка, 50253",+380 (54) 009-96-50,abramchuksymon@example.org
Бабариченко,Ганна,Олександрівна,Жінка,26.12.1968,Драматург,місто Дебальцеве,"вулиця Перлинна, буд. 702 кв. 6, Волноваха, 38187",+380 (31) 003-57-21,skorobohatkoparmen@example.net
Колесниченко,Валентина,Глібівна,Жінка,30.08.1966,Гінеколог,місто Дебальцеве,"набережна Заводська 4-та, буд. 446 кв. 9, Бар, 23890",+380 61 795-02-07,hkorpaniuk@example.org
Алексюк,Аліна,Андріївна,Жінка,21.05.1955,Менеджер,село Молодогвардійськ,"вулиця 8-ма Лінія Дачі Ковалевського, буд. 38 кв. 3, Кролевець, 30949",+380 23 974-46-89,danylohres@example.com
Баранець,Єлисавета,Яремївна,Жінка,02.01.1997,Випробувач,селище Хоростків,"проспект Академіка Панкратової, буд. 4 кв. 038, Борзна, 66189",682 98 51,sviatoslavavdovychenko@example.net
Єресько,Клавдія,Соломонівна,Жінка,23.12.1956,Гицель,хутір Христинівка,"парк Аграрна, буд. 092, Буськ, 88068",094 571 84 71,hbandera@example.com
Гавриш,Василина,Зорянівна,Жінка,15.04.1959,Каскадер,місто Молодогвардійськ,"площа Полтавська, буд. 87, Мар'їнка, 36172",+380 09 099-40-82,zhaliloviktoriia@example.com
Власюк,Ганна,Стефанівна,Жінка,10.09.1996,Мовознавець,хутір Косів,"вулиця Чорноморський 8-й, буд. 909, Алмазна, 75018",178 81 66,rtsymbaliuk@example.net
Карась,Одарка,Орестівна,Жінка,27.07.1961,Головний меркшейдер,хутір Тернівка ,"шосе Сурикова 1-й, буд. 3, Березне, 88177",+380 78 731 51 50,mykhailiukklavdiia@example.org
Щорс,Омелян,Йосипович,Чоловік,06.01.1987,Менеджер,селище Рогатин,"набережна 2-й Академічний тупик, буд. 2 кв. 424, Кременець, 85868",651 66 46,andrii05@example.net
Тихий,Охрім,Теодорович,Чоловік,05.01.1957,Астронавт,хутір Кипуче,"площа Дача Ковалевського, буд. 71, Устилуг, 88459",+380 48 859 50 17,irenamakarenko@example.net
Гайденко,Симон,Федірович,Чоловік,10.03.1992,Електрослюсар,село Жовква,"вулиця Зоринська, буд. 1 кв. 0, Красноперекопськ, 82339",783 70 15,gzasenko@example.com
Тимченко,Павло,Несторович,Чоловік,18.12.1952,Секретар,хутір Миргород,"узвіз Заводська, буд. 183, Тячів, 63523",022 541 26 54,vadym47@example.net
Рак,Адам,Микитаович,Чоловік,12.08.2005,Складальник,село Золотоноша,"провулок Цегляна, буд. 62, Василівка , 12613",+380 13 437 56 96,makarhavrylets@example.com
Дзиндра,Ігор,Русланович,Чоловік,04.05.1959,Науковець,місто Борщів,"сквер Виноградний, буд. 692 кв. 267, Родинське, 77573",061-69-38,fiaremko@example.com
Хорішко,Мілена,Зиновіївна,Жінка,01.02.1982,Журналіст,селище Яворів,"набережна Павлова, буд. 84 кв. 7, Волноваха, 96242",084 139-04-06,andriichukliza@example.com
Дергач,Єлисавета,Георгіївна,Жінка,28.11.1957,Бібліотекар,місто Помічна,"парк Квітнева, буд. 6 кв. 29, Великі Мости, 24644",+380 65 227-42-37,ieva97@example.com
Ващенко-Захарченко,Опанас,Феофанович,Чоловік,20.01.2003,Реставратор,село Рудки,"парк Ползунова 1-й, буд. 37, Кременець, 54138",083 912-60-57,eduard63@example.org
Єресько,Богодар,Арсенович,Чоловік,21.12.1956,Електромонтер,село Глухів,"парк Любашівський, буд. 883, Довжанськ, 25365",684 34 35,semenchenkoliudmyla@example.net
Бандурка,Демʼян,Леонович,Чоловік,17.06.1958,Локсмайстер,місто Борзна,"сквер В’ячеслава Чорновола, буд. 630, Яремче, 33796",043 026 49 29,nhutsuliak@example.com
Захаренко,Еріка,Маркоівна,Жінка,05.11.1956,Електротехнік,село Судова Вишня,"площа Новощіпний ряд, буд. 41, Старий Крим, 15330",+380 (25) 366-12-33,ostap45@example.net
Дробаха,Галина,Сергіївна,Жінка,12.11.1938,Професор,хутір Дубляни,"площа Разумовська, буд. 8, Молочанськ, 24584",998-78-05,kokhrimenko@example.net
Ващенко,Петро,Леонович,Чоловік,11.05.2004,М'ясник,село Ромни,"набережна Лазурний 5-й, буд. 5, Старий Крим, 49371",503 73 85,habelkoveniiamyn@example.org
Павличенко,Людмила,Лукʼянівна,Жінка,25.04.1959,Дизайнер,селище Бориспіль,"набережна Іванова 2-й, буд. 532 кв. 6, Ладижин, 85453",+380 95 092-14-91,lbabiuk@example.com
Щорс,Ольга,Арсенівна,Жінка,01.11.1938,Слідчий,місто Кальміуське,"вулиця Ялинкова, буд. 70 кв. 71, Полтава, 69807",+380 53 739-22-06,frants62@example.com
Оберемко,Єлисавета,Юстимівна,Жінка,11.01.1977,Мірошник,селище Каховка,"площа Тиха, буд. 4, Коломия, 07628",612-55-21,nestor32@example.net
Алексеєнко,Анжела,Симонівна,Жінка,11.08.2006,Композитор,село Інкерман,"шосе Новгородський, буд. 63 кв. 840, Путивль, 83635",457 41 77,bhydenkovitalii@example.org
Артимович,Тереза,Тимофіївна,Жінка,17.11.1946,Геолог,село Армянськ,"проспект Терещенка Володимира, буд. 57, Чугуїв, 55589",025 651 29 33,mtelizhenko@example.org
